,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,track_name,artist_name
0,0.384,0.264,10,-9.443999999999999,1,0.0321,0.657,0.0,0.259,0.175,129.877,audio_features,3K2YwQn30cfQBWM39XcrXV,spotify:track:3K2YwQn30cfQBWM39XcrXV,https://api.spotify.com/v1/tracks/3K2YwQn30cfQBWM39XcrXV,https://api.spotify.com/v1/audio-analysis/3K2YwQn30cfQBWM39XcrXV,285067,3,39,Move Together - The Dark Of The Morning Version,James Bay
1,0.516,0.529,8,-6.857,0,0.0252,0.0898,0.0008210000000000001,0.0794,0.16899999999999998,134.987,audio_features,4mKjZaJd7w1UEeGOqHCcof,spotify:track:4mKjZaJd7w1UEeGOqHCcof,https://api.spotify.com/v1/tracks/4mKjZaJd7w1UEeGOqHCcof,https://api.spotify.com/v1/audio-analysis/4mKjZaJd7w1UEeGOqHCcof,242960,4,0,True Love,WE ARE TWIN
2,0.475,0.634,9,-7.626,0,0.0303,0.174,0.00137,0.114,0.474,107.587,audio_features,7GIPA6NeNggNN4C1t4XKtf,spotify:track:7GIPA6NeNggNN4C1t4XKtf,https://api.spotify.com/v1/tracks/7GIPA6NeNggNN4C1t4XKtf,https://api.spotify.com/v1/audio-analysis/7GIPA6NeNggNN4C1t4XKtf,210827,4,0,Girl That I Love,Falls
3,0.524,0.18899999999999997,1,-10.057,1,0.0311,0.9890000000000001,0.0926,0.13,0.0936,123.654,audio_features,5n0zsZHAP1lUwc9cGuwxhr,spotify:track:5n0zsZHAP1lUwc9cGuwxhr,https://api.spotify.com/v1/tracks/5n0zsZHAP1lUwc9cGuwxhr,https://api.spotify.com/v1/audio-analysis/5n0zsZHAP1lUwc9cGuwxhr,212573,3,38,Somebody To Love,Valerie June
4,0.512,0.304,0,-9.19,1,0.0318,0.295,0.0006219999999999999,0.11800000000000001,0.172,126.07799999999999,audio_features,0ZPfDxZn5O0L84wvPSN2iG,spotify:track:0ZPfDxZn5O0L84wvPSN2iG,https://api.spotify.com/v1/tracks/0ZPfDxZn5O0L84wvPSN2iG,https://api.spotify.com/v1/audio-analysis/0ZPfDxZn5O0L84wvPSN2iG,154435,5,62,How Long Will I Love You - Bonus Track,Ellie Goulding
5,0.527,0.413,1,-6.54,1,0.0331,0.0834,0.0,0.106,0.14400000000000002,148.77700000000002,audio_features,6z4VbB0iJuCb5Sa4JyToA3,spotify:track:6z4VbB0iJuCb5Sa4JyToA3,https://api.spotify.com/v1/tracks/6z4VbB0iJuCb5Sa4JyToA3,https://api.spotify.com/v1/audio-analysis/6z4VbB0iJuCb5Sa4JyToA3,238333,3,43,A Song About Love,Jake Bugg
6,0.5720000000000001,0.8190000000000001,10,-4.765,1,0.0435,0.000621,0.00323,0.165,0.608,110.52,audio_features,74C6JDICrKQe13l4vGSBny,spotify:track:74C6JDICrKQe13l4vGSBny,https://api.spotify.com/v1/tracks/74C6JDICrKQe13l4vGSBny,https://api.spotify.com/v1/audio-analysis/74C6JDICrKQe13l4vGSBny,161987,4,21,Little Games,The Colourist
7,0.337,0.8590000000000001,2,-3.1889999999999996,0,0.106,0.0484,0.0,0.203,0.265,188.049,audio_features,5imUTBF35uIoABlV9g9da2,spotify:track:5imUTBF35uIoABlV9g9da2,https://api.spotify.com/v1/tracks/5imUTBF35uIoABlV9g9da2,https://api.spotify.com/v1/audio-analysis/5imUTBF35uIoABlV9g9da2,223227,4,53,Fall In Love,Phantogram
8,0.462,0.42700000000000005,9,-13.333,1,0.0792,0.893,0.10099999999999999,0.37,0.47600000000000003,101.675,audio_features,4BAWCedKFfdwxPFmFv4DMG,spotify:track:4BAWCedKFfdwxPFmFv4DMG,https://api.spotify.com/v1/tracks/4BAWCedKFfdwxPFmFv4DMG,https://api.spotify.com/v1/audio-analysis/4BAWCedKFfdwxPFmFv4DMG,159320,3,63,Toothpaste Kisses,The Maccabees
9,0.6509999999999999,0.716,7,-8.267999999999999,1,0.0325,0.39,7.55e-06,0.0744,0.861,107.946,audio_features,2Zif5DSq7uTjKZlg9Z9Oeg,spotify:track:2Zif5DSq7uTjKZlg9Z9Oeg,https://api.spotify.com/v1/tracks/2Zif5DSq7uTjKZlg9Z9Oeg,https://api.spotify.com/v1/audio-analysis/2Zif5DSq7uTjKZlg9Z9Oeg,223373,4,2,Lover,Devendra Banhart
10,0.5589999999999999,0.897,0,-4.737,0,0.0678,0.00193,0.00818,0.207,0.757,89.992,audio_features,0RDobfQ4AtlQ4EBKkiQkln,spotify:track:0RDobfQ4AtlQ4EBKkiQkln,https://api.spotify.com/v1/tracks/0RDobfQ4AtlQ4EBKkiQkln,https://api.spotify.com/v1/audio-analysis/0RDobfQ4AtlQ4EBKkiQkln,238834,4,34,Overdose,Little Daylight
11,0.496,0.42200000000000004,10,-7.999,0,0.0235,0.708,0.0,0.136,0.299,80.007,audio_features,0fdELXwRhvTOal73I3VUmB,spotify:track:0fdELXwRhvTOal73I3VUmB,https://api.spotify.com/v1/tracks/0fdELXwRhvTOal73I3VUmB,https://api.spotify.com/v1/audio-analysis/0fdELXwRhvTOal73I3VUmB,206080,4,0,Down By The Water,The Drums
12,0.679,0.706,5,-9.112,1,0.0288,0.192,0.000377,0.172,0.7340000000000001,114.162,audio_features,0TRDfj90N54VO9yS0YHeSG,spotify:track:0TRDfj90N54VO9yS0YHeSG,https://api.spotify.com/v1/tracks/0TRDfj90N54VO9yS0YHeSG,https://api.spotify.com/v1/audio-analysis/0TRDfj90N54VO9yS0YHeSG,213080,4,30,Someone Will,Dawes
13,0.486,0.33299999999999996,0,-11.747,1,0.0259,0.16,0.0,0.0992,0.242,110.414,audio_features,2OegsP7cm3seAMsaK40dai,spotify:track:2OegsP7cm3seAMsaK40dai,https://api.spotify.com/v1/tracks/2OegsP7cm3seAMsaK40dai,https://api.spotify.com/v1/audio-analysis/2OegsP7cm3seAMsaK40dai,262173,3,0,We Found Each Other In The Dark,City and Colour
